table,column,name,type,options,reference_table,reference_display_column,formula,width,required,default,order
tasks,title,Title,text,,,,,,,,0
tasks,status,Status,select,"Todo, In Progress, Done",,,,,,Todo,1
tasks,assignee,Assignee,member,,,,,,,,2
tasks,due_date,Due date,date,,,,,,,,3
tasks,priority,Priority,select,"Low, Medium, High",,,,,,,4
tasks,client,Client,reference,,contacts,name,,,,,5
tasks,stakeholders,Stakeholders,multireference,,contacts,name,,,,,6
contacts,first_name,First name,text,,,,,,,,0
contacts,last_name,Last name,text,,,,,,,,1
contacts,name,Name,formula,,,,"join("" "", first_name, last_name)",,,,2
contacts,email,Email,text,,,,,,,,3
contacts,company,Company,text,,,,,,,,4
contacts,status,Status,select,"Lead, Active, Closed",,,,,,Lead,5
contacts,notes,Notes,document,,,,,,,,6
